Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0109248413	101771.099	101771.099	101771.099	101771.099	0	0	0	0	0	0	3
2	3	0	0.0218496826	101458.785	101614.942	101458.785	101771.099	156.156786	0	0	0	0	0	3
3	4	0	0.0327745239	101442.006	101557.297	101442.006	101771.099	213.802314	0	0	0	0	0	3
4	4	0	0.0436993652	101392.163	101516.013	101392.163	101771.099	255.085795	0	0	0	0	0	3
5	5	0	0.0546242065	101438.357	101500.482	101392.163	101771.099	270.616981	0	0	0	0	0	3
6	5	0	0.0655490478	101391.435	101482.307	101391.435	101771.099	288.791458	0	0	0	0	0	3
7	6	0	0.0764738891	101419.334	101473.311	101391.435	101771.099	297.787633	0	0	0	0	0	3
8	6	0	0.0873987304	101391.138	101463.04	101391.138	101771.099	308.059259	0	0	0	0	0	3
9	6	0	0.0983235717	101411.147	101457.274	101391.138	101771.099	313.825136	0	0	0	0	0	3
10	7	0	0.109248413	101391.169	101450.663	101391.138	101771.099	320.435591	0	0	0	0	0	3
11	8	0	0.120173254	101400.075	101446.064	101391.138	101771.099	325.034559	0	0	0	0	0	3
12	8	0	0.131098096	101390.604	101441.443	101390.604	101771.099	329.65626	0	0	0	0	0	3
13	9	0	0.142022937	101394.87	101437.86	101390.604	101771.099	333.23874	0	0	0	0	0	3
14	9	0	0.152947778	101390.39	101434.469	101390.39	101771.099	336.629438	0	0	0	0	0	3
15	10	0	0.16387262	101391.628	101431.613	101390.39	101771.099	339.485542	0	0	0	0	0	3
16	10	0	0.174797461	101390.165	101429.023	101390.165	101771.099	342.076064	0	0	0	0	0	3
17	11	0	0.185722302	101390.215	101426.74	101390.165	101771.099	344.358905	0	0	0	0	0	3
18	11	0	0.196647143	101390.138	101424.707	101390.138	101771.099	346.392354	0	0	0	0	0	3
19	11	0	0.207571985	101390.15	101422.888	101390.138	101771.099	348.211136	0	0	0	0	0	3
20	12	0	0.218496826	101390.216	101421.254	101390.138	101771.099	349.84473	0	0	0	0	0	3
