Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0109248413	0.00235872143	0.00235872143	0.00235872143	0.00235872143	0	0	0	0	0	0	3
2	3	0	0.0218496826	-0.00544063692	-0.00154095774	-0.00544063692	0.00235872143	0.00389967917	0	0	0	0	0	3
3	4	0	0.0327745239	0.00705179711	0.00132329387	-0.00544063692	0.00705179711	0.00389967917	0	0	0	0	0	3
4	4	0	0.0436993652	-0.00779082716	-0.000955236384	-0.00779082716	0.00705179711	0.00389967917	0	0	0	0	0	3
5	5	0	0.0546242065	0.00789010687	0.000813832266	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
6	5	0	0.0655490478	-0.00415359191	-1.40717635e-05	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
7	6	0	0.0764738891	0.00402011985	0.000562241324	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
8	6	0	0.0873987304	-0.00244199817	0.000186711387	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
9	6	0	0.0983235717	0.00262681506	0.000457834018	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
10	7	0	0.109248413	-0.00174336433	0.000237714183	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
11	8	0	0.120173254	0.000990020312	0.00030610565	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
12	8	0	0.131098096	-0.0004086955	0.000246538887	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
13	9	0	0.142022937	0.00160357497	0.000350926278	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
14	9	0	0.152947778	-0.00182068226	0.000195811383	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
15	10	0	0.16387262	0.00142447543	0.000277722319	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
16	10	0	0.174797461	-0.000116373992	0.0002530913	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
17	11	0	0.185722302	0.000927364865	0.00029275445	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
18	11	0	0.196647143	-5.44399113e-05	0.000273465875	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
19	11	0	0.207571985	0.000784894456	0.000300383169	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
20	12	0	0.218496826	-4.69828912e-05	0.000283014866	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
21	13	0	0.229421667	0.000463584176	0.000291613404	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
22	13	0	0.240346509	-0.000180949226	0.000270133285	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
23	14	0	0.25127135	0.000183789868	0.000266379223	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
24	14	0	0.262196191	-0.000116881719	0.000250410017	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
25	15	0	0.273121033	0.000215437639	0.000249011122	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
26	15	0	0.284045874	0.000163168146	0.000245709469	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
27	16	0	0.294970715	3.71405226e-05	0.000237984693	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
28	16	0	0.305895557	-0.000195746385	0.000222494298	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
29	17	0	0.316820398	-0.000105552776	0.00021118233	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
30	17	0	0.327745239	-0.000123152124	0.000200037848	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
31	18	0	0.33867008	-8.51663137e-05	0.000190837714	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
32	18	0	0.349594922	-6.80422156e-05	0.000182747716	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
33	19	0	0.360519763	-2.60459309e-08	0.000177209117	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
34	19	0	0.371444604	-0.000104502993	0.000168923467	-0.00779082716	0.00789010687	0.00389967917	0	0	0	0	0	3
