Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0109248413	1.10762308	1.10762308	1.10762308	1.10762308	0	0	0	0	0	0	3
2	3	0	0.0218496826	0.110055143	0.608839111	0.110055143	1.10762308	0.498783968	0	0	0	0	0	3
3	4	0	0.0327745239	0.040049852	0.419242691	0.040049852	1.10762308	0.688380387	0	0	0	0	0	3
4	4	0	0.0436993652	0.0385405184	0.324067148	0.0385405184	1.10762308	0.78355593	0	0	0	0	0	3
5	5	0	0.0546242065	0.0527062548	0.269794969	0.0385405184	1.10762308	0.837828109	0	0	0	0	0	3
6	5	0	0.0655490478	0.0416784027	0.231775542	0.0385405184	1.10762308	0.875847537	0	0	0	0	0	3
7	6	0	0.0764738891	0.0513671253	0.206002911	0.0385405184	1.10762308	0.901620168	0	0	0	0	0	3
8	6	0	0.0873987304	0.0389324044	0.185119097	0.0385405184	1.10762308	0.922503981	0	0	0	0	0	3
9	6	0	0.0983235717	0.0507986787	0.170194606	0.0385405184	1.10762308	0.937428472	0	0	0	0	0	3
10	7	0	0.109248413	0.0376202817	0.156937174	0.0376202817	1.10762308	0.950685904	0	0	0	0	0	3
11	8	0	0.120173254	0.0470554479	0.146947926	0.0376202817	1.10762308	0.960675152	0	0	0	0	0	3
12	8	0	0.131098096	0.0400626505	0.13804082	0.0376202817	1.10762308	0.969582259	0	0	0	0	0	3
13	9	0	0.142022937	0.0434057509	0.130761199	0.0376202817	1.10762308	0.976861879	0	0	0	0	0	3
14	9	0	0.152947778	0.0405881087	0.124320264	0.0376202817	1.10762308	0.983302814	0	0	0	0	0	3
15	10	0	0.16387262	0.0421182199	0.118840128	0.0376202817	1.10762308	0.988782951	0	0	0	0	0	3
16	10	0	0.174797461	0.0405176711	0.113944974	0.0376202817	1.10762308	0.993678104	0	0	0	0	0	3
17	11	0	0.185722302	0.0412419537	0.109668326	0.0376202817	1.10762308	0.997954752	0	0	0	0	0	3
18	11	0	0.196647143	0.0403659944	0.105818196	0.0376202817	1.10762308	1.00180488	0	0	0	0	0	3
19	11	0	0.207571985	0.0407160033	0.102391765	0.0376202817	1.10762308	1.00523131	0	0	0	0	0	3
20	12	0	0.218496826	0.0399994072	0.0992721473	0.0376202817	1.10762308	1.00835093	0	0	0	0	0	3
21	13	0	0.229421667	0.040371764	0.0964673672	0.0376202817	1.10762308	1.01115571	0	0	0	0	0	3
22	13	0	0.240346509	0.0396048955	0.0938827094	0.0376202817	1.10762308	1.01374037	0	0	0	0	0	3
23	14	0	0.25127135	0.0399200239	0.0915365057	0.0376202817	1.10762308	1.01608657	0	0	0	0	0	3
24	14	0	0.262196191	0.0390880258	0.0893511523	0.0376202817	1.10762308	1.01827193	0	0	0	0	0	3
25	15	0	0.273121033	0.0394162485	0.0873537562	0.0376202817	1.10762308	1.02026932	0	0	0	0	0	3
26	15	0	0.284045874	0.0385618588	0.0854771447	0.0376202817	1.10762308	1.02214593	0	0	0	0	0	3
27	16	0	0.294970715	0.0381454157	0.0837241177	0.0376202817	1.10762308	1.02389896	0	0	0	0	0	3
28	16	0	0.305895557	0.037297608	0.0820660281	0.037297608	1.10762308	1.02555705	0	0	0	0	0	3
29	17	0	0.316820398	0.0371771936	0.0805181373	0.0371771936	1.10762308	1.02710494	0	0	0	0	0	3
30	17	0	0.327745239	0.0368301442	0.0790618708	0.0368301442	1.10762308	1.02856121	0	0	0	0	0	3
31	18	0	0.33867008	0.0366029413	0.0776922279	0.0366029413	1.10762308	1.02993085	0	0	0	0	0	3
32	18	0	0.349594922	0.0355955304	0.0763767061	0.0355955304	1.10762308	1.03124637	0	0	0	0	0	3
33	19	0	0.360519763	0.0331875645	0.0750679443	0.0331875645	1.10762308	1.03255513	0	0	0	0	0	3
34	19	0	0.371444604	0.0304365933	0.0737552575	0.0304365933	1.10762308	1.03386782	0	0	0	0	0	3
35	20	0	0.382369446	0.0297425189	0.0724977507	0.0297425189	1.10762308	1.03512533	0	0	0	0	0	3
36	21	0	0.393294287	0.0301655557	0.0713218564	0.0297425189	1.10762308	1.03630122	0	0	0	0	0	3
37	21	0	0.404219128	0.0311359985	0.0702357521	0.0297425189	1.10762308	1.03738733	0	0	0	0	0	3
38	22	0	0.41514397	0.0313962188	0.0692136591	0.0297425189	1.10762308	1.03840942	0	0	0	0	0	3
39	22	0	0.426068811	0.0314986555	0.0682466077	0.0297425189	1.10762308	1.03937647	0	0	0	0	0	3
40	23	0	0.436993652	0.0305977986	0.0673053875	0.0297425189	1.10762308	1.04031769	0	0	0	0	0	3
41	23	0	0.447918493	0.0301350637	0.0663987942	0.0297425189	1.10762308	1.04122428	0	0	0	0	0	3
42	24	0	0.458843335	0.0288499708	0.0655047746	0.0288499708	1.10762308	1.0421183	0	0	0	0	0	3
43	25	0	0.469768176	0.0284524751	0.0646430933	0.0284524751	1.10762308	1.04297999	0	0	0	0	0	3
44	25	0	0.480693017	0.0279083594	0.0638082129	0.0279083594	1.10762308	1.04381487	0	0	0	0	0	3
45	26	0	0.491617859	0.0283262442	0.0630197247	0.0279083594	1.10762308	1.04460335	0	0	0	0	0	3
46	26	0	0.5025427	0.0281582282	0.0622618661	0.0279083594	1.10762308	1.04536121	0	0	0	0	0	3
47	27	0	0.513467541	0.0286778791	0.0388065357	0.0279083594	0.110055143	0.0821467834	0	0	0	0	0	3
48	28	0	0.524392383	0.0285160846	0.0370339475	0.0279083594	0.0527062548	0.0247978954	0	0	0	0	0	3
49	28	0	0.535317224	0.0286642918	0.0367864353	0.0279083594	0.0527062548	0.0247978954	0	0	0	0	0	3
50	29	0	0.546242065	0.0279587916	0.0365563978	0.0279083594	0.0527062548	0.0247978954	0	0	0	0	0	3
51	29	0	0.557166906	0.0279907194	0.0360191035	0.0279083594	0.0513671253	0.0234587659	0	0	0	0	0	3
52	30	0	0.568091748	0.0278796093	0.0357191297	0.0278796093	0.0513671253	0.023487516	0	0	0	0	0	3
53	31	0	0.579016589	0.0282070612	0.0352156501	0.0278796093	0.0507986787	0.0229190694	0	0	0	0	0	3
54	31	0	0.58994143	0.0279955635	0.0349778927	0.0278796093	0.0507986787	0.0229190694	0	0	0	0	0	3
55	32	0	0.600866272	0.0288776898	0.0345013494	0.0278796093	0.0470554479	0.0191758386	0	0	0	0	0	3
56	32	0	0.611791113	0.028957433	0.0343130266	0.0278796093	0.0470554479	0.0191758386	0	0	0	0	0	3
57	33	0	0.622715954	0.0293277159	0.0339276412	0.0278796093	0.0434057509	0.0155261416	0	0	0	0	0	3
58	34	0	0.633640796	0.0289242285	0.0336855016	0.0278796093	0.0434057509	0.0155261416	0	0	0	0	0	3
59	34	0	0.644565637	0.0286499799	0.0333647239	0.0278796093	0.0421182199	0.0142386107	0	0	0	0	0	3
60	35	0	0.655490478	0.0276471356	0.0330833984	0.0276471356	0.0421182199	0.0144710843	0	0	0	0	0	3
61	35	0	0.66641532	0.0273331232	0.0327619833	0.0273331232	0.0412419537	0.0139088305	0	0	0	0	0	3
62	36	0	0.677340161	0.0276544915	0.0324823489	0.0273331232	0.0412419537	0.0139088305	0	0	0	0	0	3
63	36	0	0.688265002	0.0288054348	0.0322119898	0.0273331232	0.0407160033	0.0133828801	0	0	0	0	0	3
64	37	0	0.699189843	0.0293714908	0.0319729789	0.0273331232	0.0407160033	0.0133828801	0	0	0	0	0	3
65	38	0	0.710114685	0.029408648	0.0317271668	0.0273331232	0.040371764	0.0130386408	0	0	0	0	0	3
66	38	0	0.721039526	0.0293321539	0.03149527	0.0273331232	0.040371764	0.0130386408	0	0	0	0	0	3
67	39	0	0.731964367	0.0290837047	0.0312498774	0.0273331232	0.0399200239	0.0125869007	0	0	0	0	0	3
68	39	0	0.742889209	0.0288918888	0.031016986	0.0273331232	0.0399200239	0.0125869007	0	0	0	0	0	3
69	40	0	0.75381405	0.0296670543	0.0307940953	0.0273331232	0.0394162485	0.0120831253	0	0	0	0	0	3
70	40	0	0.764738891	0.030907203	0.0306162513	0.0273331232	0.0394162485	0.0120831253	0	0	0	0	0	3
71	41	0	0.775663733	0.031572367	0.0304457322	0.0273331232	0.0385618588	0.0112287356	0	0	0	0	0	3
72	42	0	0.786588574	0.0317491932	0.0302976308	0.0273331232	0.0381454157	0.0108122925	0	0	0	0	0	3
73	42	0	0.797513415	0.0312691644	0.030148147	0.0273331232	0.037297608	0.00996448475	0	0	0	0	0	3
74	43	0	0.808438256	0.030408619	0.0299983864	0.0273331232	0.0371771936	0.00984407038	0	0	0	0	0	3
75	43	0	0.819363098	0.0294460879	0.0298303189	0.0273331232	0.0368301442	0.00949702094	0	0	0	0	0	3
76	44	0	0.830287939	0.0289451945	0.0296589069	0.0273331232	0.0366029413	0.00926981811	0	0	0	0	0	3
77	45	0	0.84121278	0.0293226026	0.0295006387	0.0273331232	0.0355955304	0.00826240717	0	0	0	0	0	3
78	45	0	0.852137622	0.0303497326	0.0293865996	0.0273331232	0.0331875645	0.00585444131	0	0	0	0	0	3
79	46	0	0.863062463	0.03109191	0.0293410419	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
80	46	0	0.873987304	0.0314445125	0.0293629532	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
81	47	0	0.884912146	0.0311687635	0.0293939585	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
82	47	0	0.895836987	0.0305621117	0.0294025793	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
83	48	0	0.906761828	0.029521744	0.0293674868	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
84	49	0	0.91768667	0.0291727386	0.0293191503	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
85	49	0	0.928611511	0.0296546665	0.0292790636	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
86	50	0	0.939536352	0.0307342608	0.0292820301	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
87	50	0	0.950461193	0.0311992592	0.0293051648	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
88	51	0	0.961386035	0.0313399469	0.0293592947	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
89	52	0	0.972310876	0.0309546275	0.0294136894	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
90	52	0	0.983235717	0.030467489	0.0294693226	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
91	53	0	0.994160559	0.0295464311	0.0294958484	0.0273331232	0.0317491932	0.00441607003	0	0	0	0	0	3
92	53	0	1.0050854	0.0291319359	0.029517016	0.0273331232	0.0317491932	0.00441607003	0.000761193948	0	17.2	0	0	3
93	54	0	1.01601024	0.0294448996	0.0295336903	0.0273331232	0.0317491932	0.00441607003	0.000761193948	0	17.2	0	0	3
94	55	0	1.02693508	0.0304993326	0.0295768044	0.0273331232	0.0317491932	0.00441607003	0.000761193948	0	17.2	0	0	3
95	55	0	1.03785992	0.0312548465	0.0296331208	0.0273331232	0.0317491932	0.00441607003	0.000761193948	0	17.2	0	0	3
96	56	0	1.04878477	0.0313852863	0.0297076098	0.0273331232	0.0317491932	0.00441607003	0.000761193948	0	17.2	0	0	3
97	56	0	1.05970961	0.0307132312	0.0297667949	0.0273331232	0.0317491932	0.00441607003	0.000761193948	0	17.2	0	0	3
98	57	0	1.07063445	0.0298898629	0.029810496	0.0273331232	0.0317491932	0.00441607003	0.000761193948	0	17.2	0	0	3
99	57	0	1.08155929	0.0291956947	0.0298319881	0.0273331232	0.0317491932	0.00441607003	0.000761193948	0	17.2	0	0	3
