Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0109248413	-1.86353485	-1.86353485	-1.86353485	-1.86353485	0	0	0	0	0	0	3
2	3	0	0.0218496826	-0.0666749891	-0.965104921	-1.86353485	-0.0666749891	0.898429932	0	0	0	0	0	3
3	4	0	0.0327745239	-0.0601037027	-0.663437848	-1.86353485	-0.0601037027	1.200097	0	0	0	0	0	3
4	4	0	0.0436993652	0.01419688	-0.494029166	-1.86353485	0.01419688	1.36950569	0	0	0	0	0	3
5	5	0	0.0546242065	-0.0620328498	-0.407629903	-1.86353485	0.01419688	1.45590495	0	0	0	0	0	3
6	5	0	0.0655490478	0.00506257569	-0.338847823	-1.86353485	0.01419688	1.52468703	0	0	0	0	0	3
7	6	0	0.0764738891	-0.0506168901	-0.297671976	-1.86353485	0.01419688	1.56586288	0	0	0	0	0	3
8	6	0	0.0873987304	0.0016642882	-0.260254943	-1.86353485	0.01419688	1.60327991	0	0	0	0	0	3
9	6	0	0.0983235717	-0.0451476163	-0.236354129	-1.86353485	0.01419688	1.62718072	0	0	0	0	0	3
10	7	0	0.109248413	-0.00195582979	-0.212914299	-1.86353485	0.01419688	1.65062055	0	0	0	0	0	3
11	8	0	0.120173254	-0.0352851333	-0.196766193	-1.86353485	0.01419688	1.66676866	0	0	0	0	0	3
12	8	0	0.131098096	-0.0103254767	-0.181229466	-1.86353485	0.01419688	1.68230539	0	0	0	0	0	3
13	9	0	0.142022937	-0.0303108845	-0.169620345	-1.86353485	0.01419688	1.69391451	0	0	0	0	0	3
14	9	0	0.152947778	-0.0154188488	-0.158605952	-1.86353485	0.01419688	1.7049289	0	0	0	0	0	3
15	10	0	0.16387262	-0.0269436475	-0.149828465	-1.86353485	0.01419688	1.71370639	0	0	0	0	0	3
16	10	0	0.174797461	-0.019605173	-0.141689509	-1.86353485	0.01419688	1.72184534	0	0	0	0	0	3
17	11	0	0.185722302	-0.0235985116	-0.13474298	-1.86353485	0.01419688	1.72879187	0	0	0	0	0	3
18	11	0	0.196647143	-0.0211033245	-0.128429666	-1.86353485	0.01419688	1.73510519	0	0	0	0	0	3
19	11	0	0.207571985	-0.0227389978	-0.122866999	-1.86353485	0.01419688	1.74066785	0	0	0	0	0	3
20	12	0	0.218496826	-0.021678184	-0.117807558	-1.86353485	0.01419688	1.74572729	0	0	0	0	0	3
21	13	0	0.229421667	-0.0221862223	-0.113254161	-1.86353485	0.01419688	1.75028069	0	0	0	0	0	3
22	13	0	0.240346509	-0.0220612057	-0.109109027	-1.86353485	0.01419688	1.75442583	0	0	0	0	0	3
23	14	0	0.25127135	-0.0221489985	-0.105328156	-1.86353485	0.01419688	1.7582067	0	0	0	0	0	3
24	14	0	0.262196191	-0.0220093942	-0.101856541	-1.86353485	0.01419688	1.76167831	0	0	0	0	0	3
25	15	0	0.273121033	-0.0220875312	-0.0986657808	-1.86353485	0.01419688	1.76486907	0	0	0	0	0	3
26	15	0	0.284045874	-0.0220511106	-0.0957190627	-1.86353485	0.01419688	1.76781579	0	0	0	0	0	3
27	16	0	0.294970715	-0.0219757751	-0.0929878299	-1.86353485	0.01419688	1.77054702	0	0	0	0	0	3
28	16	0	0.305895557	-0.0218096177	-0.0904457509	-1.86353485	0.01419688	1.7730891	0	0	0	0	0	3
29	17	0	0.316820398	-0.0217391707	-0.0880765584	-1.86353485	0.01419688	1.77545829	0	0	0	0	0	3
30	17	0	0.327745239	-0.021734849	-0.0858651681	-1.86353485	0.01419688	1.77766968	0	0	0	0	0	3
31	18	0	0.33867008	-0.0216952668	-0.0837951713	-1.86353485	0.01419688	1.77973968	0	0	0	0	0	3
32	18	0	0.349594922	-0.0216638305	-0.0818535669	-1.86353485	0.01419688	1.78168129	0	0	0	0	0	3
33	19	0	0.360519763	-0.0212978994	-0.0800185467	-1.86353485	0.01419688	1.78351631	0	0	0	0	0	3
34	19	0	0.371444604	-0.0210413387	-0.0782839229	-1.86353485	0.01419688	1.78525093	0	0	0	0	0	3
35	20	0	0.382369446	-0.0209729905	-0.0766464677	-1.86353485	0.01419688	1.78688839	0	0	0	0	0	3
36	21	0	0.393294287	-0.0210975763	-0.0751034429	-1.86353485	0.01419688	1.78843141	0	0	0	0	0	3
37	21	0	0.404219128	-0.0211756421	-0.0736459348	-1.86353485	0.01419688	1.78988892	0	0	0	0	0	3
38	22	0	0.41514397	-0.0211156647	-0.0722635593	-1.86353485	0.01419688	1.79127129	0	0	0	0	0	3
39	22	0	0.426068811	-0.0207032005	-0.0709414988	-1.86353485	0.01419688	1.79259335	0	0	0	0	0	3
