Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0109248413	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0218496826	0	0	0	0	0	0	0	0	0	0	3
3	4	0	0.0327745239	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0436993652	0	0	0	0	0	0	0	0	0	0	3
5	5	0	0.0546242065	0	0	0	0	0	0	0	0	0	0	3
6	5	0	0.0655490478	0	0	0	0	0	0	0	0	0	0	3
7	6	0	0.0764738891	0	0	0	0	0	0	0	0	0	0	3
8	6	0	0.0873987304	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.0983235717	0	0	0	0	0	0	0	0	0	0	3
10	7	0	0.109248413	0	0	0	0	0	0	0	0	0	0	3
11	8	0	0.120173254	0	0	0	0	0	0	0	0	0	0	3
12	8	0	0.131098096	0	0	0	0	0	0	0	0	0	0	3
13	9	0	0.142022937	0	0	0	0	0	0	0	0	0	0	3
14	9	0	0.152947778	0	0	0	0	0	0	0	0	0	0	3
15	10	0	0.16387262	0	0	0	0	0	0	0	0	0	0	3
16	10	0	0.174797461	0	0	0	0	0	0	0	0	0	0	3
17	11	0	0.185722302	0	0	0	0	0	0	0	0	0	0	3
18	11	0	0.196647143	0	0	0	0	0	0	0	0	0	0	3
19	11	0	0.207571985	0	0	0	0	0	0	0	0	0	0	3
20	12	0	0.218496826	0	0	0	0	0	0	0	0	0	0	3
21	13	0	0.229421667	0	0	0	0	0	0	0	0	0	0	3
22	13	0	0.240346509	0	0	0	0	0	0	0	0	0	0	3
23	14	0	0.25127135	0	0	0	0	0	0	0	0	0	0	3
24	14	0	0.262196191	0	0	0	0	0	0	0	0	0	0	3
25	15	0	0.273121033	0	0	0	0	0	0	0	0	0	0	3
26	15	0	0.284045874	0	0	0	0	0	0	0	0	0	0	3
27	16	0	0.294970715	0	0	0	0	0	0	0	0	0	0	3
28	16	0	0.305895557	0	0	0	0	0	0	0	0	0	0	3
29	17	0	0.316820398	0	0	0	0	0	0	0	0	0	0	3
30	17	0	0.327745239	0	0	0	0	0	0	0	0	0	0	3
31	18	0	0.33867008	0	0	0	0	0	0	0	0	0	0	3
32	18	0	0.349594922	0	0	0	0	0	0	0	0	0	0	3
33	19	0	0.360519763	0	0	0	0	0	0	0	0	0	0	3
34	19	0	0.371444604	0	0	0	0	0	0	0	0	0	0	3
35	20	0	0.382369446	0	0	0	0	0	0	0	0	0	0	3
36	21	0	0.393294287	0	0	0	0	0	0	0	0	0	0	3
37	21	0	0.404219128	0	0	0	0	0	0	0	0	0	0	3
38	22	0	0.41514397	0	0	0	0	0	0	0	0	0	0	3
39	22	0	0.426068811	0	0	0	0	0	0	0	0	0	0	3
40	23	0	0.436993652	0	0	0	0	0	0	0	0	0	0	3
41	23	0	0.447918493	0	0	0	0	0	0	0	0	0	0	3
42	24	0	0.458843335	0	0	0	0	0	0	0	0	0	0	3
43	25	0	0.469768176	0	0	0	0	0	0	0	0	0	0	3
44	25	0	0.480693017	0	0	0	0	0	0	0	0	0	0	3
