Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0109248413	101324.859	101324.859	101324.859	101324.859	0	0	0	0	0	0	3
2	3	0	0.0218496826	101325.003	101324.931	101324.859	101325.003	0.0721403492	0	0	0	0	0	3
3	4	0	0.0327745239	101325.022	101324.962	101324.859	101325.022	0.102469749	0	0	0	0	0	3
4	4	0	0.0436993652	101325.008	101324.973	101324.859	101325.022	0.114069032	0	0	0	0	0	3
5	5	0	0.0546242065	101325.018	101324.982	101324.859	101325.022	0.123020666	0	0	0	0	0	3
6	5	0	0.0655490478	101325.008	101324.986	101324.859	101325.022	0.127338325	0	0	0	0	0	3
7	6	0	0.0764738891	101325.018	101324.991	101324.859	101325.022	0.131816919	0	0	0	0	0	3
8	6	0	0.0873987304	101325.008	101324.993	101324.859	101325.022	0.134016715	0	0	0	0	0	3
9	6	0	0.0983235717	101325.018	101324.996	101324.859	101325.022	0.136741547	0	0	0	0	0	3
10	7	0	0.109248413	101325.007	101324.997	101324.859	101325.022	0.137895875	0	0	0	0	0	3
11	8	0	0.120173254	101325.016	101324.999	101324.859	101325.022	0.139597785	0	0	0	0	0	3
12	8	0	0.131098096	101325.008	101324.999	101324.859	101325.022	0.140394802	0	0	0	0	0	3
13	9	0	0.142022937	101325.014	101325.001	101324.859	101325.022	0.141502083	0	0	0	0	0	3
14	9	0	0.152947778	101325.009	101325.001	101324.859	101325.022	0.142073398	0	0	0	0	0	3
15	10	0	0.16387262	101325.012	101325.002	101324.859	101325.022	0.1427884	0	0	0	0	0	3
16	10	0	0.174797461	101325.009	101325.002	101324.859	101325.022	0.143212153	0	0	0	0	0	3
17	11	0	0.185722302	101325.01	101325.003	101324.859	101325.022	0.143652929	0	0	0	0	0	3
18	11	0	0.196647143	101325.008	101325.003	101324.859	101325.022	0.143970643	0	0	0	0	0	3
19	11	0	0.207571985	101325.009	101325.003	101324.859	101325.022	0.144294824	0	0	0	0	0	3
20	12	0	0.218496826	101325.009	101325.004	101324.859	101325.022	0.144561633	0	0	0	0	0	3
21	13	0	0.229421667	101325.009	101325.004	101324.859	101325.022	0.144830719	0	0	0	0	0	3
22	13	0	0.240346509	101325.009	101325.004	101324.859	101325.022	0.14507864	0	0	0	0	0	3
23	14	0	0.25127135	101325.009	101325.004	101324.859	101325.022	0.145309892	0	0	0	0	0	3
