Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0109248413	293.199992	293.199992	293.199992	293.199992	0	0	0	0	0	0	3
2	3	0	0.0218496826	293.199991	293.199991	293.199991	293.199992	4.19500111e-07	0	0	0	0	0	3
3	4	0	0.0327745239	293.19999	293.199991	293.19999	293.199992	7.32008459e-07	0	0	0	0	0	3
4	4	0	0.0436993652	293.19999	293.199991	293.19999	293.199992	1.03688171e-06	0	0	0	0	0	3
5	5	0	0.0546242065	293.199989	293.19999	293.199989	293.199992	1.33693834e-06	0	0	0	0	0	3
6	5	0	0.0655490478	293.199988	293.19999	293.199988	293.199992	1.73180331e-06	0	0	0	0	0	3
7	6	0	0.0764738891	293.199987	293.199989	293.199987	293.199992	2.19042448e-06	0	0	0	0	0	3
8	6	0	0.0873987304	293.199985	293.199989	293.199985	293.199992	2.7119919e-06	0	0	0	0	0	3
9	6	0	0.0983235717	293.199984	293.199988	293.199984	293.199992	3.25068663e-06	0	0	0	0	0	3
10	7	0	0.109248413	293.199983	293.199988	293.199983	293.199992	3.81188926e-06	0	0	0	0	0	3
11	8	0	0.120173254	293.199981	293.199987	293.199981	293.199992	4.39902578e-06	0	0	0	0	0	3
12	8	0	0.131098096	293.19998	293.199987	293.19998	293.199992	5.01787105e-06	0	0	0	0	0	3
13	9	0	0.142022937	293.199978	293.199986	293.199978	293.199992	5.64498902e-06	0	0	0	0	0	3
14	9	0	0.152947778	293.199977	293.199985	293.199977	293.199992	6.27809158e-06	0	0	0	0	0	3
15	10	0	0.16387262	293.199976	293.199985	293.199976	293.199992	6.90848867e-06	0	0	0	0	0	3
16	10	0	0.174797461	293.199974	293.199984	293.199974	293.199992	7.57497412e-06	0	0	0	0	0	3
17	11	0	0.185722302	293.199972	293.199983	293.199972	293.199992	8.26076825e-06	0	0	0	0	0	3
18	11	0	0.196647143	293.199971	293.199983	293.199971	293.199992	8.9657006e-06	0	0	0	0	0	3
19	11	0	0.207571985	293.199969	293.199982	293.199969	293.199992	9.68322007e-06	0	0	0	0	0	3
20	12	0	0.218496826	293.199967	293.199981	293.199967	293.199992	1.04115265e-05	0	0	0	0	0	3
21	13	0	0.229421667	293.199965	293.19998	293.199965	293.199992	1.11934137e-05	0	0	0	0	0	3
22	13	0	0.240346509	293.199962	293.19998	293.199962	293.199992	1.20212069e-05	0	0	0	0	0	3
23	14	0	0.25127135	293.19996	293.199979	293.19996	293.199992	1.28910422e-05	0	0	0	0	0	3
24	14	0	0.262196191	293.199957	293.199978	293.199957	293.199992	1.37962001e-05	0	0	0	0	0	3
25	15	0	0.273121033	293.199954	293.199977	293.199954	293.199992	1.47363379e-05	0	0	0	0	0	3
26	15	0	0.284045874	293.19995	293.199976	293.19995	293.199992	1.57626515e-05	0	0	0	0	0	3
27	16	0	0.294970715	293.199946	293.199975	293.199946	293.199992	1.68708991e-05	0	0	0	0	0	3
28	16	0	0.305895557	293.199942	293.199974	293.199942	293.199992	1.80518731e-05	0	0	0	0	0	3
29	17	0	0.316820398	293.199937	293.199972	293.199937	293.199992	1.93019871e-05	0	0	0	0	0	3
30	17	0	0.327745239	293.199933	293.199971	293.199933	293.199992	2.06180197e-05	0	0	0	0	0	3
31	18	0	0.33867008	293.199926	293.199969	293.199926	293.199992	2.20747079e-05	0	0	0	0	0	3
32	18	0	0.349594922	293.199919	293.199968	293.199919	293.199992	2.36642198e-05	0	0	0	0	0	3
33	19	0	0.360519763	293.199913	293.199966	293.199913	293.199992	2.53358523e-05	0	0	0	0	0	3
34	19	0	0.371444604	293.199907	293.199964	293.199907	293.199992	2.70690311e-05	0	0	0	0	0	3
35	20	0	0.382369446	293.199902	293.199963	293.199902	293.199992	2.88521517e-05	0	0	0	0	0	3
36	21	0	0.393294287	293.199895	293.199961	293.199895	293.199992	3.07407613e-05	0	0	0	0	0	3
37	21	0	0.404219128	293.199889	293.199959	293.199889	293.199992	3.26932398e-05	0	0	0	0	0	3
38	22	0	0.41514397	293.199886	293.199957	293.199886	293.199992	3.46155687e-05	0	0	0	0	0	3
39	22	0	0.426068811	293.199886	293.199955	293.199886	293.199992	3.64345445e-05	0	0	0	0	0	3
40	23	0	0.436993652	293.199889	293.199953	293.199886	293.199992	3.80831895e-05	0	0	0	0	0	3
41	23	0	0.447918493	293.199898	293.199952	293.199886	293.199992	3.94449097e-05	0	0	0	0	0	3
42	24	0	0.458843335	293.199907	293.199951	293.199886	293.199992	4.05253727e-05	0	0	0	0	0	3
43	25	0	0.469768176	293.199914	293.19995	293.199886	293.199992	4.13777345e-05	0	0	0	0	0	3
44	25	0	0.480693017	293.199919	293.199949	293.199886	293.199992	4.20927439e-05	0	0	0	0	0	3
45	26	0	0.491617859	293.199921	293.199949	293.199886	293.199992	4.27228744e-05	0	0	0	0	0	3
46	26	0	0.5025427	293.199922	293.199948	293.199886	293.199992	4.33034224e-05	0	0	0	0	0	3
47	27	0	0.513467541	293.199924	293.199947	293.199886	293.199991	4.43592519e-05	0	0	0	0	0	3
48	28	0	0.524392383	293.199924	293.199945	293.199886	293.19999	4.54890396e-05	0	0	0	0	0	3
49	28	0	0.535317224	293.199926	293.199944	293.199886	293.19999	4.65812653e-05	0	0	0	0	0	3
50	29	0	0.546242065	293.199929	293.199943	293.199886	293.199989	4.76048829e-05	0	0	0	0	0	3
51	29	0	0.557166906	293.19993	293.199941	293.199886	293.199988	4.84863695e-05	0	0	0	0	0	3
52	30	0	0.568091748	293.19993	293.19994	293.199886	293.199987	4.92894771e-05	0	0	0	0	0	3
53	31	0	0.579016589	293.19993	293.199939	293.199886	293.199985	5.00008712e-05	0	0	0	0	0	3
54	31	0	0.58994143	293.19993	293.199938	293.199886	293.199984	5.06552173e-05	0	0	0	0	0	3
55	32	0	0.600866272	293.19993	293.199936	293.199886	293.199983	5.12602088e-05	0	0	0	0	0	3
56	32	0	0.611791113	293.19993	293.199935	293.199886	293.199981	5.18149325e-05	0	0	0	0	0	3
57	33	0	0.622715954	293.19993	293.199934	293.199886	293.19998	5.2312051e-05	0	0	0	0	0	3
58	34	0	0.633640796	293.199931	293.199933	293.199886	293.199978	5.27505525e-05	0	0	0	0	0	3
59	34	0	0.644565637	293.199931	293.199932	293.199886	293.199977	5.31460665e-05	0	0	0	0	0	3
60	35	0	0.655490478	293.199931	293.199931	293.199886	293.199976	5.35170086e-05	0	0	0	0	0	3
61	35	0	0.66641532	293.19993	293.19993	293.199886	293.199974	5.38381654e-05	0	0	0	0	0	3
62	36	0	0.677340161	293.199928	293.199929	293.199886	293.199972	5.41444297e-05	0	0	0	0	0	3
63	36	0	0.688265002	293.199928	293.199928	293.199886	293.199971	5.43929861e-05	0	0	0	0	0	3
64	37	0	0.699189843	293.19993	293.199927	293.199886	293.199969	5.45687321e-05	0	0	0	0	0	3
65	38	0	0.710114685	293.199932	293.199927	293.199886	293.199967	5.46508882e-05	0	0	0	0	0	3
66	38	0	0.721039526	293.199933	293.199926	293.199886	293.199965	5.46208856e-05	0	0	0	0	0	3
67	39	0	0.731964367	293.199933	293.199925	293.199886	293.199962	5.4479687e-05	0	0	0	0	0	3
68	39	0	0.742889209	293.199933	293.199924	293.199886	293.19996	5.42443246e-05	0	0	0	0	0	3
69	40	0	0.75381405	293.19993	293.199924	293.199886	293.199957	5.39817033e-05	0	0	0	0	0	3
70	40	0	0.764738891	293.19993	293.199923	293.199886	293.199954	5.36244887e-05	0	0	0	0	0	3
71	41	0	0.775663733	293.19993	293.199923	293.199886	293.19995	5.3115101e-05	0	0	0	0	0	3
72	42	0	0.786588574	293.199932	293.199922	293.199886	293.199946	5.24046462e-05	0	0	0	0	0	3
73	42	0	0.797513415	293.199933	293.199922	293.199886	293.199942	5.14949519e-05	0	0	0	0	0	3
74	43	0	0.808438256	293.199933	293.199922	293.199886	293.199937	5.04343416e-05	0	0	0	0	0	3
75	43	0	0.819363098	293.199933	293.199922	293.199886	293.199933	4.75775367e-05	0	0	0	0	0	3
76	44	0	0.830287939	293.199931	293.199922	293.199886	293.199933	4.75775367e-05	0	0	0	0	0	3
77	45	0	0.84121278	293.19993	293.199922	293.199886	293.199933	4.62055619e-05	0	0	0	0	0	3
78	45	0	0.852137622	293.199929	293.199922	293.199886	293.199933	4.45339294e-05	0	0	0	0	0	3
79	46	0	0.863062463	293.199929	293.199922	293.199886	293.199933	4.28007506e-05	0	0	0	0	0	3
80	46	0	0.873987304	293.19993	293.199923	293.199886	293.199933	4.101763e-05	0	0	0	0	0	3
81	47	0	0.884912146	293.199932	293.199924	293.199886	293.199933	3.91290204e-05	0	0	0	0	0	3
82	47	0	0.895836987	293.199932	293.199924	293.199886	293.199933	3.71765419e-05	0	0	0	0	0	3
83	48	0	0.906761828	293.199933	293.199925	293.199886	293.199933	3.52542131e-05	0	0	0	0	0	3
84	49	0	0.91768667	293.199932	293.199926	293.199886	293.199933	3.34352372e-05	0	0	0	0	0	3
85	49	0	0.928611511	293.199929	293.199927	293.199889	293.199933	3.17865922e-05	0	0	0	0	0	3
86	50	0	0.939536352	293.199929	293.199928	293.199898	293.199933	3.0424872e-05	0	0	0	0	0	3
87	50	0	0.950461193	293.19993	293.199929	293.199907	293.199933	2.66601525e-05	0	0	0	0	0	3
88	51	0	0.961386035	293.199931	293.199929	293.199914	293.199933	1.90127287e-05	0	0	0	0	0	3
89	52	0	0.972310876	293.199933	293.19993	293.199919	293.199933	1.46739464e-05	0	0	0	0	0	3
90	52	0	0.983235717	293.199933	293.19993	293.199921	293.199933	1.22844167e-05	0	0	0	0	0	3
91	53	0	0.994160559	293.199933	293.19993	293.199922	293.199933	1.12638815e-05	0	0	0	0	0	3
92	53	0	1.0050854	293.199932	293.199931	293.199924	293.199933	9.70096471e-06	3.13154138e-06	0	0	0	0	3
93	54	0	1.01601024	293.19993	293.199931	293.199924	293.199933	9.02041393e-06	3.13154138e-06	0	0	0	0	3
94	55	0	1.02693508	293.199929	293.199931	293.199926	293.199933	7.45937444e-06	3.13154138e-06	0	0	0	0	3
95	55	0	1.03785992	293.199929	293.199931	293.199928	293.199933	5.04274249e-06	3.13154138e-06	0	0	0	0	3
96	56	0	1.04878477	293.199931	293.199931	293.199928	293.199933	5.04274249e-06	3.13154138e-06	0	0	0	0	3
97	56	0	1.05970961	293.199933	293.199931	293.199928	293.199933	5.04274249e-06	3.13154138e-06	0	0	0	0	3
98	57	0	1.07063445	293.199932	293.199931	293.199928	293.199933	5.04274249e-06	3.13154138e-06	0	0	0	0	3
99	57	0	1.08155929	293.199932	293.199931	293.199928	293.199933	5.04274249e-06	3.13154138e-06	0	0	0	0	3
100	58	0	1.09248413	293.19993	293.199931	293.199928	293.199933	5.04274249e-06	3.13154138e-06	0	0	0	0	3
101	59	0	1.10340897	293.199928	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
102	60	0	1.11433381	293.199928	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
103	61	0	1.12525865	293.199928	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
104	61	0	1.1361835	293.199931	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
105	62	0	1.14710834	293.199932	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
106	62	0	1.15803318	293.199933	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
107	63	0	1.16895802	293.199933	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
108	63	0	1.17988286	293.199932	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
109	64	0	1.1908077	293.199931	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
110	65	0	1.20173254	293.19993	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
111	65	0	1.21265738	293.199931	293.199931	293.199928	293.199933	5.58975586e-06	3.13154138e-06	0	0	0	0	3
