Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0109248413
2	3	0	0.0218496826
3	4	0	0.0327745239
4	4	0	0.0436993652
5	5	0	0.0546242065
6	5	0	0.0655490478
7	6	0	0.0764738891
8	6	0	0.0873987304
9	6	0	0.0983235717
10	7	0	0.109248413
11	8	0	0.120173254
12	8	0	0.131098096
13	9	0	0.142022937
14	9	0	0.152947778
15	10	0	0.16387262
16	10	0	0.174797461
17	11	0	0.185722302
18	11	0	0.196647143
19	11	0	0.207571985
20	12	0	0.218496826
21	13	0	0.229421667
22	13	0	0.240346509
23	14	0	0.25127135
24	14	0	0.262196191
25	15	0	0.273121033
26	15	0	0.284045874
27	16	0	0.294970715
28	16	0	0.305895557
29	17	0	0.316820398
30	17	0	0.327745239
31	18	0	0.33867008
32	18	0	0.349594922
33	19	0	0.360519763
34	19	0	0.371444604
35	20	0	0.382369446
36	21	0	0.393294287
37	21	0	0.404219128
38	22	0	0.41514397
39	22	0	0.426068811
40	23	0	0.436993652
41	23	0	0.447918493
42	24	0	0.458843335
43	25	0	0.469768176
44	25	0	0.480693017
45	26	0	0.491617859
46	26	0	0.5025427
47	27	0	0.513467541
48	28	0	0.524392383
49	28	0	0.535317224
50	29	0	0.546242065
51	29	0	0.557166906
52	30	0	0.568091748
53	31	0	0.579016589
54	31	0	0.58994143
55	32	0	0.600866272
56	32	0	0.611791113
57	33	0	0.622715954
58	34	0	0.633640796
59	34	0	0.644565637
60	35	0	0.655490478
61	35	0	0.66641532
62	36	0	0.677340161
63	36	0	0.688265002
64	37	0	0.699189843
65	38	0	0.710114685
66	38	0	0.721039526
67	39	0	0.731964367
68	39	0	0.742889209
69	40	0	0.75381405
70	40	0	0.764738891
71	41	0	0.775663733
72	42	0	0.786588574
73	42	0	0.797513415
74	43	0	0.808438256
75	43	0	0.819363098
76	44	0	0.830287939
77	45	0	0.84121278
78	45	0	0.852137622
79	46	0	0.863062463
80	46	0	0.873987304
81	47	0	0.884912146
82	47	0	0.895836987
83	48	0	0.906761828
84	49	0	0.91768667
85	49	0	0.928611511
86	50	0	0.939536352
87	50	0	0.950461193
88	51	0	0.961386035
89	52	0	0.972310876
90	52	0	0.983235717
91	53	0	0.994160559
92	53	0	1.0050854
93	54	0	1.01601024
94	55	0	1.02693508
95	55	0	1.03785992
96	56	0	1.04878477
97	56	0	1.05970961
98	57	0	1.07063445
99	57	0	1.08155929
100	58	0	1.09248413
101	59	0	1.10340897
102	60	0	1.11433381
103	61	0	1.12525865
104	61	0	1.1361835
105	62	0	1.14710834
106	62	0	1.15803318
107	63	0	1.16895802
108	63	0	1.17988286
109	64	0	1.1908077
110	65	0	1.20173254
111	65	0	1.21265738
112	66	0	1.22358223
113	67	0	1.23450707
114	67	0	1.24543191
115	68	0	1.25635675
116	68	0	1.26728159
117	69	0	1.27820643
118	70	0	1.28913127
119	70	0	1.30005612
120	71	0	1.31098096
121	71	0	1.3219058
122	72	0	1.33283064
123	73	0	1.34375548
124	73	0	1.35468032
125	74	0	1.36560516
126	75	0	1.37653
127	75	0	1.38745485
128	76	0	1.39837969
129	77	0	1.40930453
130	77	0	1.42022937
131	78	0	1.43115421
132	78	0	1.44207905
133	79	0	1.45300389
134	80	0	1.46392873
135	80	0	1.47485358
136	81	0	1.48577842
137	81	0	1.49670326
138	82	0	1.5076281
139	83	0	1.51855294
140	83	0	1.52947778
141	84	0	1.54040262
